Temperature	Magnetization	Susceptibility	Energy	Heat_Capacity	Heat_Capacity_Error	Susceptibility_Error
1.0	2498.1314459049545	0.0015574972830712797	-4992.647118301315	0.023309947131574155	0.0012838704942548373	9.618941780537837e-05
1.1	2496.1415571284124	0.003045935105193745	-4984.954499494439	0.040173128370411135	0.0020573553681721268	0.00013808103494414637
1.2000000000000002	2492.5783619818	0.005647852020959058	-4971.449949443882	0.0645918358893444	0.003930182612430894	0.00028605746398519314
1.3000000000000003	2486.7219413549037	0.009734318697395232	-4949.743174924166	0.09783805683343363	0.005617727637715055	0.00034899795849248854
1.4000000000000004	2478.655207280081	0.01687113265427095	-4921.059656218403	0.14203782016069297	0.009949594338170588	0.0006031458670441598
1.5000000000000004	2466.0687563195147	0.026649228060742214	-4877.314459049545	0.19127724134127286	0.012897470135332923	0.0009129833623269547
1.6000000000000005	2449.567239635996	0.04046885201311669	-4821.759352881699	0.2482600363349773	0.01876600054051939	0.0012731864552600163
1.7000000000000006	2426.4186046511627	0.07036999885190057	-4748.469160768453	0.37293359261998643	0.028390925932881374	0.001956596373679751
1.8000000000000007	2392.4833164812944	0.11082012688927348	-4649.743174924166	0.443937480985934	0.035879877709691414	0.003197935180794493
1.9000000000000008	2345.943377148635	0.20117818724266	-4524.416582406471	0.5542922695967625	0.045206819291479274	0.005824070759248459
2.000000000000001	2278.637007077856	0.4174387635070829	-4363.223458038423	0.7969467761144035	0.08094219991981928	0.013053830177474766
2.100000000000001	2176.3599595551063	0.8940123943179131	-4160.355915065723	0.8930058964161097	0.08726164326034454	0.030396577977930772
2.200000000000001	1941.0495449949444	6.348760469214987	-3858.3781597573306	1.5779851564106109	0.1525815148804105	0.1917140471120137
2.300000000000001	1311.7492416582406	77.40876953224814	-3424.376137512639	2.1135082563659284	0.20974941806307157	2.028616733916743
2.4000000000000012	534.3498483316481	58.96223689161835	-3015.2072800808896	1.1621516197326116	0.12379338771153753	1.0018817915840812
2.5000000000000013	291.38321536905966	21.491328978725523	-2760.396359959555	0.8335797857647529	0.09003601419570696	0.41273553662324797
2.6000000000000014	239.53488372093022	13.696541019740119	-2580.541961577351	0.7152168234362198	0.08009847732880973	0.23740655501668156
2.7000000000000015	199.37108190091	9.157788389961745	-2410.7704752275026	0.5512742720197353	0.06826135010423767	0.1652951238142097
2.8000000000000016	162.3377148634985	5.924306371093143	-2269.298281092012	0.46638972612401913	0.05981330992216144	0.09743858266384618
2.9000000000000017	149.92922143579372	4.891678402245485	-2140.7603640040443	0.44437580117413134	0.059081995748350345	0.08058250741875264
3.0000000000000018	133.11223458038424	3.745745160499909	-2039.2194135490395	0.4175260032472713	0.054228965223048375	0.05746909052830239
