Temperature	Magnetization	Susceptibility	Energy	Heat_Capacity	Heat_Capacity_Error	Susceptibility_Error
1.0	0.0	0.0	-4742.273003033367	0.07632529390603304	0.003832902155766294	0.0
1.1	0.0	0.0	-4718.030333670374	0.11211294152766219	0.005251274188695378	0.0
1.2000000000000002	0.0	0.0	-4699.490394337715	0.10494078158297471	0.005481931064753234	0.0
1.3000000000000003	0.0	0.0	-4661.731041456016	0.15199537086151754	0.008693000628906938	0.0
1.4000000000000004	0.0	0.0	-4623.017189079878	0.1799625900805908	0.011546945031896736	0.0
1.5000000000000004	0.0	0.0	-4570.8270980788675	0.2468453313145371	0.016626498771721874	0.0
1.6000000000000005	0.0	0.0	-4502.669362992922	0.30072182787174806	0.024298883805487805	0.0
1.7000000000000006	0.0	0.0	-4417.104145601617	0.38477708398006755	0.03155490428255875	0.0
1.8000000000000007	0.0	0.0	-4309.844287158746	0.48511053941821936	0.03729197388090143	0.0
1.9000000000000008	0.0	0.0	-4171.87462082912	0.596177055979369	0.05069949343437941	0.0
2.000000000000001	0.0	0.0	-4010.637007077856	0.7682267629466945	0.06781121333023994	0.0
2.100000000000001	0.0	0.0	-3788.1900910010113	0.8995894763385552	0.08178904481916183	0.0
2.200000000000001	0.0	0.0	-3528.8978766430737	1.0529526181000253	0.0952428980978859	0.0
2.300000000000001	0.0	0.0	-3236.0728008088977	1.1531301601809951	0.11472257008583915	0.0
2.4000000000000012	0.0	0.0	-2962.3255813953488	0.9583964696937852	0.10509285567742428	0.0
2.5000000000000013	0.0	0.0	-2743.0131445904954	0.8842698696296205	0.10950364215778718	0.0
2.6000000000000014	0.0	0.0	-2562.252780586451	0.7202573159699095	0.07998780075958843	0.0
2.7000000000000015	0.0	0.0	-2396.7927199191104	0.5541065025337759	0.06640039112769183	0.0
2.8000000000000016	0.0	0.0	-2254.3417593528816	0.5494876542652722	0.06816836546626874	0.0
2.9000000000000017	0.0	0.0	-2138.386248736097	0.41475591569009346	0.053810193158920265	0.0
3.0000000000000018	0.0	0.0	-2030.5480283114257	0.41035690231008615	0.05519043291072772	0.0
