immunity fraction	average infected fraction
0.0	0.2545683402363875
0.010101010101010102	0.24877668451358723
0.020202020202020204	0.2406647944236792
0.030303030303030304	0.23901149611071823
0.04040404040404041	0.2306430952621477
0.05050505050505051	0.2269021113243762
0.06060606060606061	0.2159199515102536
0.07070707070707072	0.20542664915648048
0.08080808080808081	0.20532356803717547
0.09090909090909091	0.19593562986160218
0.10101010101010102	0.19506277401757754
0.11111111111111112	0.17456139003939794
0.12121212121212122	0.1681094251944641
0.13131313131313133	0.16405657137084553
0.14141414141414144	0.1643844832811395
0.15151515151515152	0.14501824426709767
0.16161616161616163	0.1378418426103647
0.17171717171717174	0.1260328113950904
0.18181818181818182	0.11531120315183352
0.19191919191919193	0.10529463582180017
0.20202020202020204	0.08771488029093848
0.21212121212121213	0.08362359834326699
0.22222222222222224	0.08335250025255075
0.23232323232323235	0.06796553187190625
0.24242424242424243	0.047122739670673805
0.25252525252525254	0.0031587028992827557
0.26262626262626265	0.0017044954035761186
0.27272727272727276	7.75835943024548e-06
0.2828282828282829	0.0031483584200424288
0.29292929292929293	0.0002708152338620063
0.30303030303030304	0.00022180018183654915
0.31313131313131315	0.00016215779371653703
0.32323232323232326	0.00014890392968986766
0.33333333333333337	4.848974643903424e-07
0.3434343434343435	0.0
0.3535353535353536	2.868976664309526e-06
0.36363636363636365	0.0
0.37373737373737376	0.0
0.38383838383838387	0.0
0.393939393939394	0.0
0.4040404040404041	1.6163248813011416e-07
0.4141414141414142	0.0
0.42424242424242425	1.0102030508132134e-05
0.43434343434343436	0.0
0.4444444444444445	0.0
0.4545454545454546	0.0
0.4646464646464647	0.0
0.4747474747474748	0.0
0.48484848484848486	0.0
0.494949494949495	0.0
0.5050505050505051	0.0
0.5151515151515152	0.0
0.5252525252525253	0.0
0.5353535353535354	0.0
0.5454545454545455	0.0
0.5555555555555556	0.0
0.5656565656565657	0.0
0.5757575757575758	0.0
0.5858585858585859	0.0
0.595959595959596	0.0
0.6060606060606061	0.0
0.6161616161616162	0.0
0.6262626262626263	0.0
0.6363636363636365	0.0
0.6464646464646465	0.0
0.6565656565656566	0.0
0.6666666666666667	0.0
0.6767676767676768	0.0
0.686868686868687	0.0
0.696969696969697	0.0
0.7070707070707072	0.0
0.7171717171717172	0.0
0.7272727272727273	0.0
0.7373737373737375	0.0
0.7474747474747475	0.0
0.7575757575757577	0.0
0.7676767676767677	0.0
0.7777777777777778	0.0
0.787878787878788	0.0
0.797979797979798	0.0
0.8080808080808082	0.0
0.8181818181818182	0.0
0.8282828282828284	0.0
0.8383838383838385	0.0
0.8484848484848485	0.0
0.8585858585858587	0.0
0.8686868686868687	0.0
0.8787878787878789	0.0
0.888888888888889	0.0
0.8989898989898991	0.0
0.9090909090909092	0.0
0.9191919191919192	0.0
0.9292929292929294	0.0
0.9393939393939394	0.0
0.9494949494949496	0.0
0.9595959595959597	0.0
0.9696969696969697	0.0
0.9797979797979799	0.0
0.98989898989899	0.0
1.0	0.0
