p1	variance	error
0.2	0.0	0.0
0.2076923076923077	0.0	0.0
0.2153846153846154	0.0	0.0
0.2230769230769231	0.0	0.0
0.23076923076923078	0.0	0.0
0.23846153846153847	2.020038717953033e-07	1.6044604150372408e-07
0.24615384615384617	0.0	0.0
0.25384615384615383	0.0	0.0
0.26153846153846155	0.001715525077859571	0.00024202909989669524
0.2692307692307692	0.006939545777643623	0.0010670509612813969
0.27692307692307694	0.004112307678601455	0.00046164892566277033
0.2846153846153846	0.012253505331619842	0.0010331575019353794
0.2923076923076923	0.06152306359694067	0.003844744775296668
0.3	0.14915687061403213	0.00681232628692093
0.3076923076923077	1.055732291648223	0.020236082715597153
0.3153846153846154	0.678777710028374	0.00954156678100099
0.3230769230769231	0.6499316863979097	0.009705911641329924
0.33076923076923076	0.8126184504754695	0.011143915827958
0.3384615384615385	0.66405224675067	0.009846011974099157
0.34615384615384615	0.6277077547294845	0.008848893800016744
0.3538461538461538	0.5617810301828081	0.00832825446551575
0.36153846153846153	0.565402079695696	0.00774170965882304
0.36923076923076925	0.5772661819522152	0.008183666769784216
0.3769230769230769	0.5216248948239256	0.00757882052159529
0.3846153846153846	0.550852947437053	0.00825813818252687
0.3923076923076923	0.5055220109692425	0.0072531273110239295
0.4	0.5131134943503305	0.006907900875596758
0.4076923076923077	0.5229993464264903	0.007670665200066997
0.41538461538461535	0.503658237696637	0.007139627613385472
0.4230769230769231	0.48625877046624666	0.006752070029434431
0.4307692307692308	0.46387179465831724	0.007062298948760381
0.43846153846153846	0.4980044747943757	0.006906983928586889
0.4461538461538461	0.4780952905280748	0.006681251449281802
0.45384615384615384	0.44722425439255314	0.006303623722034887
0.4615384615384615	0.46214693645131777	0.00658133431946713
0.46923076923076923	0.4338694783328101	0.006169565755197684
0.4769230769230769	0.4342647092722589	0.006311623158145648
0.4846153846153846	0.44808039073210676	0.006407757768934424
0.4923076923076923	0.4263822948664194	0.006036523638405144
0.5	0.4222721396887209	0.005881094372057629
